sentence,difficulty
"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1
Le test de niveau en français est sur le site Internet de l'école.,A1
Est-ce que ton mari est aussi de Boston?,A1
"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1
voilà une autre histoire que j'ai beaucoup aimée.,A2
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2
J'ai retrouvé le plaisir de manger un oeuf à la coque,A2
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1
Bonjour et bonne année.,A1
La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2
"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1
J'habite une belle ville dans le nord de la France.,A1
"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2
"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2
Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1
"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2
Je ne fais pas grand-chose à la maison.,A2
Elle ajoute qu'une interdiction totale est impossible à gérer.,B2
"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2
"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2
Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1
C'est peut-être ça que vous cherchez ?,A2
